yeo_17_index,yeo_17_name,yeo_17_R,yeo_17_A,yeo_17_S,yeo_7_index,yeo_7_name,yeo_7_R,yeo_7_A,yeo_7_S
176,17networks_RH_SomMotB_Ins_3,46,-8,-2,185,7networks_RH_SomMot_Ins_3,46,-8,-2
177,17networks_RH_SomMotB_ST_1,56,-20,8,186,7networks_RH_SomMot_ST,56,-20,8
178,17networks_RH_SalVentAttnA_ST,60,-32,24,153,7networks_RH_SalVentAttn_ST,60,-32,24
179,17networks_RH_SomMotA_1,18,-8,70,169,7networks_RH_SomMot_1,18,-8,70
180,17networks_RH_SomMotA_10,52,-20,54,170,7networks_RH_SomMot_10,52,-20,54
181,17networks_RH_SomMotA_2,18,-24,72,175,7networks_RH_SomMot_2,18,-24,72
182,17networks_RH_SomMotA_3,4,-32,64,176,7networks_RH_SomMot_3,4,-32,64
183,17networks_RH_SomMotA_4,20,-32,72,177,7networks_RH_SomMot_4,20,-32,72
184,17networks_RH_SomMotA_5,8,-14,46,178,7networks_RH_SomMot_5,8,-14,46
185,17networks_RH_SomMotA_6,36,-20,64,179,7networks_RH_SomMot_6,36,-20,64
186,17networks_RH_SomMotA_7,40,-28,62,180,7networks_RH_SomMot_7,40,-28,62
187,17networks_RH_SomMotA_8,32,-38,62,181,7networks_RH_SomMot_8,32,-38,62
188,17networks_RH_SomMotA_9,44,-12,48,182,7networks_RH_SomMot_9,44,-12,48
189,17networks_RH_VisPeri_ExStrInf_1,20,-52,2,187,7networks_RH_Vis_ExStrInf_1,20,-52,2
190,17networks_RH_VisPeri_ExStrInf_2,16,-62,-6,188,7networks_RH_Vis_ExStrInf_2,16,-62,-6
191,17networks_RH_VisPeri_ExStrSup,12,-74,26,189,7networks_RH_Vis_ExStrSup,12,-74,26
192,17networks_RH_VisPeri_Striate,10,-72,10,197,7networks_RH_Vis_Striate_1,10,-72,10
193,17networks_RH_VisCent_ExStr_1,18,-88,26,190,7networks_RH_Vis_ExStr_1,18,-88,26
194,17networks_RH_VisCent_ExStr_2,38,-82,16,191,7networks_RH_Vis_ExStr_2,38,-82,16
195,17networks_RH_VisCent_ExStr_3,28,-96,-2,192,7networks_RH_Vis_ExStr_3,28,-96,-2
196,17networks_RH_VisCent_ExStr_4,24,-78,-12,193,7networks_RH_Vis_ExStr_4,24,-78,-12
197,17networks_RH_VisCent_ExStr_5,46,-76,-8,194,7networks_RH_Vis_ExStr_5,46,-76,-8
198,17networks_RH_VisCent_ExStr_6,32,-46,-18,195,7networks_RH_Vis_ExStr_6,32,-46,-18
199,17networks_RH_VisCent_Striate,8,-92,0,198,7networks_RH_Vis_Striate_2,8,-92,0
